LINHA,TIPO_EMBARCACAO,MAT_CASCO,COMPRIMENTO,BOCA,CALADO,PONTAL,POTENCIA,VELOCIDADE,NUM_PROP,TPB,DESLOC_LEVE,NUM_GERADORES,CAP_PASSAGEIROS,CAP_CARGA,TRIPULANTES,DURACAO_VIAGEM,CONSUMO_COMBUSTIVEL
BELEM - PONTA DE PEDRAS,LANCHA,ACO NAVAL,30.0,6.5,2.2,3.1,500,25,1,21,6,1,220,0,5,2.15,90.0
BELEM - CURRALINHO,PASSAGEIRO/CARGA GERAL,MADEIRA,34.0,8.4,2.2,3.0,600,16,2,109,21,2,280,143,5,10.0,150.0
MANAUS - TERRA NOVA,LANCHA,ALUMINIO,17.95,3.0,0.8,1.1,250,25,1,35,7,1,60,0,2,1.5,200.0
MANAUS - MANAQUIRI,LANCHA,ALUMINIO,19.0,4.8,1.6,2.7,600,35,1,35,7,1,48,0,2,1.0,155.0
BELEM - BARCARENA,LANCHA,ALUMINIO,22.9,4.6,1.0,1.4,450,18,2,35,7,2,120,0,3,0.45,60.0
BELEM - BARCARENA,PASSAGEIRO,MADEIRA,21.0,4.1,1.2,1.2,190,12,1,29,7,1,108,55,3,1.0,60.0
BELEM - BARCARENA,PASSAGEIRO,ALUMINIO,21.6,3.8,1.0,1.9,410,21,1,27,6,1,70,0,3,0.45,70.0
BELEM - BARCARENA,LANCHA,ALUMINIO,24.0,2.807,0.7,1.0,215,22,1,35,7,0,90,0,3,0.45,45.0
BELEM - BARCARENA,LANCHA,ALUMINIO,17.0,3.45,1.2,1.9,215,22,1,35,7,0,88,0,3,0.45,70.0
BELEM - BARCARENA,LANCHA,ALUMINIO,22.0,3.45,1.2,1.6,550,24,1,35,7,1,102,0,3,0.45,75.0
BELEM - BARCARENA,LANCHA,ALUMINIO,17.0,3.45,1.2,1.9,215,22,1,35,7,0,100,0,3,0.45,70.0
BELEM - BARCARENA,LANCHA,ACO NAVAL,17.6,3.6,1.4,2.3,410,15,1,21,6,4,91,0,3,1.0,75.0
BELEM - BARCARENA,PASSAGEIRO,MADEIRA,18.78,4.8,0.66,1.0,240,13,2,29,7,2,115,0,3,1.3,70.0
BELEM - BARCARENA,LANCHA,ALUMINIO,20.0,4.1,1.2,1.4,190,12,1,35,7,1,112,0,3,1.3,70.0
BELEM - ARAPARI,PASSAGEIRO/CARGA GERAL,ACO NAVAL,39.0,9.5,1.8,3.0,800,16,1,330,64,1,650,476,4,1.0,70.0
BELEM - ARAPARI,LANCHA,ALUMINIO,32.0,6.3,1.6,2.4,420,13,2,35,7,1,306,0,4,0.45,20.0
BELEM - CAFEZAL,LANCHA,ALUMINIO,19.0,5.4,1.2,1.6,410,29,1,35,7,1,140,0,3,1.0,80.0
MANAUS - NOVA OLINDA,PASSAGEIRO/CARGA GERAL,MADEIRA,29.0,7.3,1.8,2.2,480,12,2,109,21,2,159,100,5,12.0,500.0
MANAUS - JANAUCA,PASSAGEIRO,ALUMINIO,18.0,8.0,1.0,1.8,170,12,2,27,6,1,55,35,2,1.3,250.0
MANAUS - BORBA,PASSAGEIRO/CARGA GERAL,MADEIRA,24.1,6.18,1.4,1.9,270,11,1,109,21,2,93,32,5,23.0,700.0
MANAUS - NOVA OLINDA,LANCHA,ALUMINIO,23.4,4.2,0.8,2.0,600,30,2,35,7,1,88,0,3,4.5,500.0
MANAUS - MANAQUIRI,LANCHA,ALUMINIO,17.0,3.0,1.0,1.3,477,30,1,35,7,1,57,0,2,2.0,220.0
MANAUS - ANORI,LANCHA,ALUMINIO,20.0,3.5,1.0,3.0,464,30,1,35,7,1,48,0,3,8.0,500.0
MANAUS - NOVA OLINDA,PASSAGEIRO/CARGA GERAL,MADEIRA,34.4,8.2,2.25,2.8,600,18,2,109,21,2,178,130,5,12.0,700.0
MANAUS - MANAQUIRI,LANCHA,ALUMINIO,20.0,3.0,1.0,1.4,600,25,1,35,7,1,63,0,4,2.0,280.0
MANAUS - PARINTINS,LANCHA,ALUMINIO,16.0,3.0,1.0,1.4,477,30,1,35,7,1,52,0,4,8.0,600.0
MANAUS - MANAQUIRI,LANCHA,ALUMINIO,20.0,3.2,1.2,1.8,600,26,1,35,7,1,30,0,2,2.0,180.0
MANAUS - MANAQUIRI,LANCHA,ALUMINIO,18.6,3.0,1.0,1.4,350,21,1,35,7,1,77,0,3,2.0,280.0
MANAUS - NOVO ARIPUANA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,41.5,8.5,1.19,1.65,360,12,1,330,64,2,93,173,6,9.0,400.0
MANAUS - MANAQUIRI,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,5.5,1.5,2.0,315,10,1,109,21,1,80,85,4,5.0,225.0
MANAUS - MANAQUIRI,PASSAGEIRO/CARGA GERAL,MADEIRA,10.0,3.0,1.5,2.0,130,30,1,109,21,0,38,0,2,2.0,220.0
MANAUS - MANAQUIRI,PASSAGEIRO/CARGA GERAL,MADEIRA,19.0,5.3,1.8,2.8,200,10,2,109,21,2,65,25,3,7.0,300.0
MANAUS - BELA VISTA,PASSAGEIRO/CARGA GERAL,MADEIRA,18.5,5.0,1.4,2.1,140,12,1,109,21,1,10,65,3,12.0,700.0
MANAUS - NOVO REMANSO,PASSAGEIRO/CARGA GERAL,MADEIRA,23.0,4.0,2.0,2.9,200,12,2,109,21,2,100,400,3,6.0,350.0
MANAUS - NOVO AIRAO,CHATA,MADEIRA,26.0,7.2,2.1,2.35,480,14,1,35,6,1,96,45,5,9.0,600.0
MANAUS - CAREIRO DA VARZEA,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,5.0,1.2,1.9,313,12,1,109,21,1,60,60,3,2.0,150.0
MANAUS - NOVO ARIPUANA,PASSAGEIRO/CARGA GERAL,MADEIRA,26.2,6.41,1.6,2.25,550,12,1,109,21,1,100,60,2,9.0,500.0
MANAUS - BERURI,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,5.0,1.8,2.8,210,13,2,109,21,2,55,60,3,18.0,700.0
MANAUS - CAAPIRANGA,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,7.0,1.2,1.9,160,12,1,109,21,1,64,35,3,12.0,400.0
MANAUS - NOVO AIRAO,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,7.0,1.8,1.9,360,13,2,109,21,3,134,90,4,8.0,400.0
MANAUS - RIO PRETO DA EVA,PASSAGEIRO/CARGA GERAL,MADEIRA,22.8,5.8,1.8,2.3,200,13,1,109,21,2,96,70,3,9.0,400.0
MANAUS - PURUPURU,LANCHA,ALUMINIO,17.0,3.1,1.2,2.0,550,28,2,35,7,1,59,0,2,3.0,300.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,18.0,4.0,1.2,1.5,450,20,1,35,7,2,66,0,4,2.0,125.0
MANAUS - TABOCAL,LANCHA,ALUMINIO,17.2,3.85,1.0,1.3,250,25,1,35,7,1,70,0,2,2.0,150.0
MANAUS - NOVO ARIPUANA,PASSAGEIRO/CARGA GERAL,MADEIRA,10.0,3.0,1.5,2.0,130,12,1,109,21,0,42,0,2,9.0,500.0
MANAUS - JANAUCA,PASSAGEIRO,ALUMINIO,18.0,3.6,1.3,1.6,215,14,2,27,6,1,85,40,2,2.0,200.0
MANAUS - LAGOA DO REI,LANCHA,ALUMINIO,15.6,3.0,1.2,1.6,290,20,2,35,7,1,50,0,3,4.0,200.0
MANAUS - MANACAPURU,PASSAGEIRO/CARGA GERAL,MADEIRA,24.0,6.0,1.9,2.4,190,16,1,109,21,1,80,56,3,2.0,200.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,16.0,6.0,0.9,1.2,400,30,1,35,7,1,56,0,1,1.0,200.0
MANAUS - CAREIRO DA VARZEA,PASSAGEIRO,ALUMINIO,17.0,3.0,1.1,1.6,250,15,1,27,6,1,60,30,2,2.0,200.0
MANAUS - JANAUCA,PASSAGEIRO/CARGA GERAL,MADEIRA,40.0,10.0,2.8,3.6,200,15,2,109,21,2,80,40,4,3.0,250.0
MANAUS - PARANA DA EVA,LANCHA,ALUMINIO,21.1,3.1,1.0,1.2,552,15,2,35,7,0,64,0,2,3.0,150.0
MANAUS - PARANA DA EVA,PASSAGEIRO/CARGA GERAL,MADEIRA,24.0,6.0,2.15,2.8,315,15,3,109,21,2,88,34,3,8.0,400.0
MANAUS - AUTAZES,PASSAGEIRO/CARGA GERAL,MADEIRA,22.7,6.1,1.8,2.6,160,10,1,109,21,2,67,40,3,8.0,200.0
MANAUS - JUMA,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,5.5,1.5,2.1,160,12,2,109,21,1,65,35,4,13.0,400.0
MANAUS - NOVO AIRAO,CHATA,MADEIRA,25.5,7.6,1.82,2.15,460,14,1,35,6,1,121,60,3,9.0,700.0
MANAUS - CAAPIRANGA,PASSAGEIRO/CARGA GERAL,MADEIRA,23.0,5.5,1.5,2.5,160,12,1,109,21,1,40,40,3,13.0,350.0
MANAUS - CURARI,PASSAGEIRO/CARGA GERAL,MADEIRA,16.0,4.5,1.2,1.9,114,12,1,109,21,1,32,16,2,2.3,180.0
MANAUS - MAMORI,PASSAGEIRO/CARGA GERAL,MADEIRA,19.0,5.0,1.3,2.0,140,15,2,109,21,1,50,25,3,7.0,420.0
MANAUS - ITACOATIARA,PASSAGEIRO/CARGA GERAL,MADEIRA,22.15,6.3,1.5,2.3,306,12,1,109,21,2,95,80,5,18.0,550.0
MANAUS - RIO PRETO DA EVA,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,6.0,1.3,2.1,250,10,2,109,21,1,60,70,5,10.0,500.0
MANAUS - CAAPIRANGA,PASSAGEIRO/CARGA GERAL,MADEIRA,21.5,6.75,1.5,2.2,250,12,2,109,21,1,40,30,4,15.0,400.0
OBIDOS - MANAUS,FERRY BOAT,ACO NAVAL,58.0,13.0,1.15,2.9,1200,14,2,528,98,2,330,890,10,40.0,350.0
MANAUS - URICURITUBA,PASSAGEIRO/CARGA GERAL,MADEIRA,24.0,7.0,1.0,1.7,190,10,3,109,21,3,85,95,4,9.0,610.0
SANTAREM - INALU,PASSAGEIRO/CARGA GERAL,MADEIRA,17.6,4.2,1.8,1.8,612,15,1,109,21,1,60,19,2,6.0,180.0
SANTAREM - LAGO GRANDE,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,4.3,1.0,3.0,114,17,1,109,21,3,40,12,3,6.0,60.0
SANTAREM - AVEIRO,PASSAGEIRO/CARGA GERAL,MADEIRA,27.5,6.0,1.8,2.0,373,20,1,109,21,2,100,85,4,14.0,600.0
SANTAREM - CURUA,PASSAGEIRO/CARGA GERAL,MADEIRA,12.0,3.6,1.2,2.3,114,15,1,109,21,1,37,12,2,4.0,80.0
SANTAREM - SURUACA,PASSAGEIRO/CARGA GERAL,MADEIRA,19.5,4.5,1.0,1.9,114,30,1,109,21,1,53,22,3,6.0,220.0
SANTAREM - ITAITUBA,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,5.8,1.6,2.6,160,17,1,109,21,2,77,30,4,11.0,500.0
SANTAREM-  CURICACA,PASSAGEIRO/CARGA GERAL,MADEIRA,19.0,4.6,1.2,2.0,114,17,2,109,21,2,45,18,3,8.0,60.0
SANTAREM - PRAINHA,PASSAGEIRO/CARGA GERAL,MADEIRA,24.0,6.0,1.9,2.75,315,13,1,109,21,2,82,120,4,7.0,450.0
SANTAREM - CURUA,PASSAGEIRO/CARGA GERAL,MADEIRA,21.8,5.6,1.1,1.8,200,10,2,109,21,2,80,50,4,7.0,150.0
SANTAREM - SANTANA DO TAPARA,LANCHA,ALUMINIO,12.0,2.4,1.0,1.8,481,20,1,35,7,0,35,0,1,2.0,87.0
SANTAREM-  CURICACA,PASSAGEIRO/CARGA GERAL,MADEIRA,23.6,3.7,1.6,2.0,160,25,1,109,21,1,66,14,3,8.0,100.0
SANTAREM - SANTANA DO TAPARA,PASSAGEIRO/CARGA GERAL,MADEIRA,21.7,5.5,1.7,2.0,200,10,1,109,21,2,89,60,4,3.0,150.0
SANTAREM - LAGO GRANDE,PASSAGEIRO/CARGA GERAL,MADEIRA,18.3,3.75,1.2,1.7,160,15,1,109,21,0,40,10,2,6.0,80.0
SANTAREM - SURUACA,PASSAGEIRO/CARGA GERAL,MADEIRA,17.75,4.42,1.0,1.33,750,15,1,109,21,1,36,20,5,6.0,220.0
BELEM - SANTA CRUZ DO ARIRI,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,4.2,1.8,2.5,200,17,2,109,21,2,40,50,4,5.0,250.0
BELEM - SANTA CRUZ DO ARIRI,LANCHA,MADEIRA,22.0,5.1,1.5,1.9,375,20,1,28,5,2,81,55,4,6.0,300.0
BELEM - CACHOEIRA DO ARARI,PASSAGEIRO/CARGA GERAL,MADEIRA,27.0,6.5,1.8,3.0,420,11,1,109,21,1,231,80,4,6.0,200.0
BELEM - CACHOEIRA DO ARARI,LANCHA,ALUMINIO,19.92,4.0,0.75,1.35,580,20,2,35,7,1,95,11,4,1.4,100.0
BELEM - CACHOEIRA DO ARARI,PASSAGEIRO/CARGA GERAL,MADEIRA,13.0,4.0,1.5,2.5,280,15,2,109,21,1,98,138,4,6.0,350.0
BELEM - CACHOEIRA DO ARARI,LANCHA,ALUMINIO,20.0,3.5,0.57,1.6,800,21,2,35,7,1,90,11,4,2.3,200.0
BELEM - PONTA DE PEDRAS,PASSAGEIRO/CARGA GERAL,MADEIRA,23.5,5.6,1.4,1.75,470,17,1,109,21,1,176,100,5,3.0,220.0
BELEM - PONTA DE PEDRAS,PASSAGEIRO/CARGA GERAL,MADEIRA,26.28,8.9,2.2,2.5,420,20,1,109,21,1,205,151,4,3.0,200.0
BELEM - CHAVES,OUTRO,MADEIRA,20.8,4.85,1.5,1.8,180,10,1,49,8,1,15,45,3,15.0,350.0
BELEM - SANTA CRUZ DO ARIRI,LANCHA,ALUMINIO,20.0,3.75,0.6,1.25,448,20,2,35,7,0,105,0,3,5.0,350.0
BELEM - SANTA CRUZ DO ARIRI,PASSAGEIRO/CARGA GERAL,MADEIRA,23.27,5.2,1.7,1.8,375,17,3,109,21,2,72,47,5,5.0,350.0
BELEM - SANTA CRUZ DO ARIRI,PASSAGEIRO/CARGA GERAL,MADEIRA,23.0,5.25,1.8,1.9,180,26,1,109,21,1,90,110,4,6.0,200.0
BELEM - CACHOEIRA DO ARARI,PASSAGEIRO/CARGA GERAL,MADEIRA,16.0,4.5,2.0,4.0,280,12,2,109,21,1,98,98,4,6.0,300.0
BELEM - PONTA DE PEDRAS,PASSAGEIRO,ALUMINIO,24.0,3.0,1.2,1.2,300,20,2,27,6,0,99,0,3,2.3,120.0
BELEM - SANTA CRUZ DO ARIRI,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,5.0,1.5,2.2,190,20,1,109,21,2,60,15,4,4.0,250.0
VITORIA DO XINGU - ALMEIRIM,PASSAGEIRO/CARGA GERAL,MADEIRA,19.0,5.0,1.5,1.8,270,10,1,109,21,2,60,40,5,14.0,400.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,17.8,4.7,0.7,1.5,180,11,1,109,21,1,35,52,4,11.0,170.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,4.0,0.9,1.4,130,10,1,109,21,1,40,28,4,16.0,250.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,19.0,4.5,1.0,1.8,240,14,1,109,21,2,60,12,3,12.0,220.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,5.2,1.7,2.3,280,14,1,109,21,1,100,88,4,12.0,225.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,16.5,4.3,0.7,1.17,114,8,1,109,21,1,35,90,3,8.0,140.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,4.0,1.0,1.3,690,15,1,109,21,1,30,8,3,12.0,140.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,27.0,6.3,1.2,1.9,315,13,1,109,21,2,88,90,4,12.0,300.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,15.0,3.4,1.5,1.8,230,30,1,109,21,1,30,5,3,9.0,300.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,23.37,5.8,1.55,1.83,180,17,1,109,21,1,100,70,7,12.0,300.0
MACAPA - ANAJAS,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,6.3,1.8,2.4,367,12,1,109,21,1,99,100,4,17.0,450.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,6.0,1.5,1.8,180,11,1,109,21,2,86,60,5,12.0,300.0
MACAPA - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,23.0,4.6,1.5,2.0,190,15,3,109,21,2,88,81,4,6.0,300.0
MACAPA - ANAJAS,PASSAGEIRO/CARGA GERAL,MADEIRA,27.0,6.8,1.2,2.1,315,15,2,109,21,2,140,120,5,14.0,600.0
MACAPA - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,24.0,6.8,1.7,1.9,190,15,1,109,21,1,105,80,5,6.0,250.0
MACAPA - AFUA,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,6.3,1.5,2.0,180,18,1,109,21,2,86,100,4,5.0,400.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,ACO NAVAL,30.0,5.0,1.3,1.8,470,12,1,330,64,1,120,80,4,14.0,300.0
MACAPA - BAILIQUE,PASSAGEIRO,MADEIRA,21.0,4.3,1.0,1.5,135,14,1,29,7,1,40,60,3,12.0,250.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,5.8,1.8,2.2,270,10,1,109,21,2,57,35,4,12.0,250.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,ACO NAVAL,23.4,6.65,1.55,2.5,270,25,1,330,64,2,123,80,3,12.0,250.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,5.2,0.75,1.15,290,13,1,109,21,1,47,35,3,12.0,300.0
MACAPA - BAILIQUE,PASSAGEIRO/CARGA GERAL,MADEIRA,21.8,5.3,1.1,1.85,149,9,1,109,21,1,55,48,3,12.0,250.0
BELEM - ACARA NOVO,PASSAGEIRO,MADEIRA,8.0,2.5,1.0,1.2,113,10,1,29,7,1,10,0,2,3.0,10.0
BELEM - ACARA NOVO,PASSAGEIRO,MADEIRA,10.0,2.5,0.8,1.0,350,12,1,29,7,0,10,0,2,2.3,12.0
SANTAREM - SANTANA DO TAPARA,FERRY BOAT,ACO NAVAL,62.5,14.0,1.9,1.9,600,10,2,528,98,0,423,800,4,3.0,130.0
BELEM - MUANA,PASSAGEIRO/CARGA GERAL,MADEIRA,16.7,3.8,1.0,1.4,110,8,1,109,21,1,10,17,3,10.0,200.0
BELEM - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,16.0,3.8,1.0,1.5,114,12,1,109,21,1,12,10,3,18.0,350.0
BELEM - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,15.0,13.35,1.6,1.6,114,10,1,109,21,1,30,0,3,15.0,250.0
BELEM - CACHOEIRA DO ARARI,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,4.3,1.3,1.7,290,15,1,109,21,1,40,80,4,6.0,150.0
SANTANA - LARANJAL  DO JARI,PASSAGEIRO/CARGA GERAL,MADEIRA,28.0,6.8,1.65,2.15,440,12,2,109,21,2,151,80,5,24.0,600.0
SANTANA - BREVES,FERRY BOAT,ACO NAVAL,27.1,7.04,1.2,1.45,600,12,1,528,98,2,160,80,4,12.0,700.0
SANTANA - GURUPA,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,4.8,1.0,1.45,180,14,2,109,21,2,50,30,6,7.0,250.0
ICOARACI - CAMARA,FERRY BOAT,ACO NAVAL,63.0,12.0,1.2,1.6,420,12,2,528,98,2,436,300,6,2.3,400.0
ICOARACI - PONTA DE PEDRAS,FERRY BOAT,ACO NAVAL,35.0,11.0,1.8,2.1,350,10,2,528,98,2,179,108,4,4.0,300.0
ICOARACI - CAMARA,FERRY BOAT,ACO NAVAL,66.0,12.0,2.2,4.75,700,11,2,528,98,2,446,790,6,2.3,600.0
MANAUS - PARINTINS,LANCHA,ACO NAVAL,21.1,3.1,1.0,1.2,552,15,2,21,6,0,70,0,4,8.0,400.0
MANAUS - PARINTINS,LANCHA,ACO NAVAL,10.0,3.0,1.5,2.0,130,18,1,21,6,0,44,0,3,8.0,400.0
MANAUS - URUCARA,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,7.0,1.8,2.5,420,16,3,109,21,2,105,120,6,12.0,250.0
MANAUS - CACAU PEREIRA,PASSAGEIRO,ALUMINIO,13.51,2.6,1.5,1.9,294,15,1,27,6,2,40,10,1,0.3,10.0
MANAUS - ANORI,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,6.0,2.5,2.8,350,12,1,109,21,2,80,40,3,20.0,400.0
TEFE - MARAA,CHATA,ACO NAVAL,30.0,8.0,1.35,1.7,280,18,1,30,5,1,215,60,7,22.0,600.0
TEFE - UARINI,PASSAGEIRO/CARGA GERAL,MADEIRA,23.0,6.0,1.6,1.8,100,12,1,109,21,1,12,50,3,6.0,120.0
TEFE - MARAA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,27.0,6.5,1.6,2.0,170,16,1,330,64,1,140,83,6,22.0,600.0
VITORIA DO XINGU - PORTO DE MOZ,LANCHA,ALUMINIO,21.0,3.6,1.0,1.7,410,15,1,35,7,0,80,0,3,3.0,250.0
VITORIA DO XINGU - PORTO DE MOZ,LANCHA,ALUMINIO,24.0,7.0,1.4,1.8,400,20,1,35,7,1,72,0,5,3.0,300.0
MANICORE - NOVO ARIPUANA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,41.02,9.0,2.06,2.6,600,18,1,330,64,2,303,120,7,8.0,700.0
SANTANA - LARANJAL  DO JARI,PASSAGEIRO/CARGA GERAL,MADEIRA,25.7,6.2,1.57,2.0,270,40,2,109,21,2,145,80,6,26.0,700.0
SANTANA - LARANJAL  DO JARI,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,7.0,1.6,2.0,290,18,1,109,21,1,90,120,4,18.0,600.0
SANTANA - GURUPA,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,5.0,1.5,1.8,180,15,1,109,21,1,70,49,4,12.0,400.0
SANTAREM - JURUTI,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,6.0,1.8,2.25,313,10,1,109,21,1,100,44,7,12.0,600.0
SANTAREM - SANTANA DO TAPARA,LANCHA,ALUMINIO,22.0,3.0,1.0,1.9,450,26,1,35,7,1,52,0,3,3.0,90.0
SANTAREM - ALENQUER,LANCHA,ALUMINIO,24.0,3.65,0.8,1.65,600,24,1,35,7,1,94,0,3,2.0,160.0
SANTAREM - MONTE ALEGRE,LANCHA,ALUMINIO,25.4,2.7,1.0,1.2,2477,26,1,35,7,1,99,0,3,3.0,450.0
MACAPA - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,19.0,4.2,1.5,3.0,135,18,1,109,21,1,45,35,3,7.0,150.0
BELEM - ARAPARI,PASSAGEIRO/CARGA GERAL,ACO NAVAL,34.0,6.0,1.5,2.2,550,14,1,330,64,1,410,0,4,0.5,23.0
MAUES - RIO PARACUNI,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,6.0,1.8,2.1,240,15,3,109,21,2,75,60,4,10.0,155.0
BELEM - LIMOEIRO DO AJURU,LANCHA,ALUMINIO,23.8,4.0,1.0,1.66,335,18,1,35,7,1,95,0,3,4.0,275.0
BELEM - SAO SEBASTIAO DA BOA VISTA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,34.0,7.5,1.6,1.8,600,12,1,330,64,2,261,300,4,8.0,700.0
BELEM - MUANA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,41.0,9.0,2.5,4.0,975,16,1,330,64,2,339,140,7,5.0,500.0
BELEM - MUANA,FERRY BOAT,ACO NAVAL,41.0,9.0,1.8,2.0,420,12,2,528,98,2,315,298,4,5.0,500.0
SANTAREM - CACHOEIRA DO ARUA,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,4.3,1.0,1.25,160,14,1,109,21,1,45,18,3,10.0,400.0
SANTAREM - SAO PEDRO,PASSAGEIRO/CARGA GERAL,MADEIRA,17.2,4.5,1.2,1.3,125,20,1,109,21,1,45,18,3,5.0,125.0
SANTAREM - CACHOEIRA DO ARUA,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,9.0,1.2,1.2,156,23,2,109,21,2,45,20,3,8.0,250.0
SANTAREM - ARAPIUNS,PASSAGEIRO/CARGA GERAL,MADEIRA,16.8,4.8,1.2,1.2,156,23,2,109,21,2,77,48,3,8.0,200.0
SANTAREM - ARAPIUNS,PASSAGEIRO/CARGA GERAL,MADEIRA,17.0,3.5,1.1,2.0,160,15,1,109,21,1,25,14,2,8.0,250.0
SANTAREM - CACHOEIRA DO ARUA,PASSAGEIRO/CARGA GERAL,MADEIRA,13.8,3.73,0.6,1.0,156,23,2,109,21,1,40,5,3,10.0,300.0
SANTAREM - ARAPIUNS,PASSAGEIRO/CARGA GERAL,MADEIRA,16.0,4.8,1.2,1.4,610,9,2,109,21,0,45,16,2,10.0,350.0
SANTAREM - ARAPIUNS,PASSAGEIRO/CARGA GERAL,MADEIRA,16.0,2.5,1.0,1.9,300,15,1,109,21,1,40,1,3,10.0,350.0
SANTAREM - GURUPA,PASSAGEIRO/CARGA GERAL,MADEIRA,15.0,4.0,1.0,1.2,114,30,1,109,21,1,35,30,2,7.0,75.0
SANTAREM - CACHOEIRA DO ARUA,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,3.95,1.0,1.4,160,10,1,109,21,1,45,17,3,10.0,200.0
