LINHA,TIPO_EMBARCACAO,MAT_CASCO,COMPRIMENTO,BOCA,CALADO,PONTAL,POTENCIA,VELOCIDADE,NUM_PROP,TPB,DESLOC_LEVE,NUM_GERADORES,CAP_PASSAGEIROS,CAP_CARGA,TRIPULANTES,DURACAO_VIAGEM,CONSUMO_COMBUSTIVEL
SANTAREM - ARAPIUNS,PASSAGEIRO/CARGA GERAL,MADEIRA,15.8,4.3,1.2,1.2,200,30,1,109,21,1,30,17,2,10.0,350.0
MUANA - PONTA DE PEDRAS,OUTRO,MADEIRA,14.0,3.0,1.6,0.8,450,12,1,49,8,0,20,10,3,5.0,30.0
BREVES - PORTEL,LANCHA,ALUMINIO,20.0,2.5,0.8,1.0,390,26,2,35,7,1,88,0,3,1.4,130.0
BREVES - PORTEL,LANCHA,ALUMINIO,16.0,2.0,0.8,1.0,477,30,1,35,7,0,40,0,2,1.0,130.0
BREVES - PORTEL,LANCHA,ALUMINIO,18.0,2.0,0.8,1.0,290,28,2,35,7,0,61,0,2,1.4,130.0
BELEM - PONTA DE PEDRAS,OUTRO,MADEIRA,21.0,2.9,1.6,2.0,114,20,1,49,8,1,15,20,3,4.0,70.0
BELEM - MUANA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,38.0,8.0,1.7,2.8,375,17,2,330,64,2,350,180,4,5.0,350.0
BELEM - PONTA DE PEDRAS,OUTRO,MADEIRA,18.0,4.2,2.5,3.2,135,25,1,49,8,1,20,30,3,4.0,75.0
MACAPA - BREVES,PASSAGEIRO/CARGA GERAL,ACO NAVAL,24.0,6.0,1.2,1.6,270,15,2,330,64,5,100,80,4,14.0,700.0
MACAPA - BREVES,PASSAGEIRO/CARGA GERAL,MADEIRA,23.0,5.0,1.21,1.5,240,15,1,109,21,2,55,42,3,10.0,700.0
MACAPA - PORTEL,PASSAGEIRO/CARGA GERAL,MADEIRA,24.0,5.7,1.7,2.1,220,10,2,109,21,2,97,80,4,15.0,600.0
MACAPA - PORTEL,PASSAGEIRO/CARGA GERAL,MADEIRA,24.0,6.24,1.8,2.5,315,12,1,109,21,1,143,50,7,12.0,400.0
SANTAREM - PORTO DE MOZ,LANCHA,ALUMINIO,19.0,3.1,1.0,1.6,475,38,1,35,7,1,65,0,3,10.0,700.0
SANTAREM - ITAITUBA,LANCHA,ALUMINIO,33.0,4.3,1.0,1.6,1200,30,1,35,7,1,112,0,3,3.0,500.0
CURRALINHO - OEIRAS DO PARA,LANCHA,ALUMINIO,10.0,2.7,0.9,1.1,250,20,1,35,7,0,36,0,2,0.25,30.0
CURRALINHO - OEIRAS DO PARA,LANCHA,ALUMINIO,22.0,3.6,0.8,1.4,240,12,1,35,7,1,72,0,2,0.5,50.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,18.0,3.9,1.2,1.7999999999999998,420,25,1,35,7,0,65,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,40.75,9.0,1.15,1.5,200,10,1,330,64,2,60,36,3,2.0,250.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,20.0,3.8,0.8,1.4,420,25,1,35,7,0,60,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,17.0,3.6,1.2,1.7999999999999998,460,30,1,35,7,0,60,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,19.0,4.3,1.0,1.6,460,30,1,35,7,0,60,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,17.0,3.8,1.4,2.0,480,25,1,35,7,0,45,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,18.0,4.2,1.3,1.9,460,20,1,35,7,1,60,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,19.0,3.8,0.9,1.5,400,28,1,35,7,0,60,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,16.0,5.0,0.9,1.3,480,25,1,35,7,0,45,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,16.0,4.2,1.3,1.9,390,30,1,35,7,0,60,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,37.0,7.51,1.02,1.54,250,13,2,330,64,1,80,150,6,2.0,200.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,18.0,4.2,1.0,1.4,420,22,1,35,7,0,65,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,17.0,4.0,0.8,1.4,390,25,1,35,7,0,50,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,20.0,5.0,1.1,1.7000000000000002,500,20,1,35,7,0,65,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,18.0,5.0,1.2,1.75,420,30,1,35,7,0,50,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,18.0,3.8,1.3,1.6,380,28,1,35,7,0,50,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,17.0,3.8,1.4,1.9,390,30,1,35,7,0,60,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,22.0,4.3,1.15,1.75,480,25,1,35,7,0,55,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,18.0,4.1,1.1,1.7000000000000002,420,28,1,35,7,0,60,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,20.0,3.8,1.45,2.05,420,30,1,35,7,0,65,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,17.0,3.5,0.9,1.5,410,25,1,35,7,0,60,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,19.0,4.3,1.0,1.5,390,23,1,35,7,0,60,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,20.0,3.7,1.0,1.7,350,26,1,35,7,0,65,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,19.0,3.9,1.4,2.0,400,30,1,35,7,0,70,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,15.0,3.6,1.5,2.1,460,25,1,35,7,0,50,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,20.0,4.1,1.0,1.6,380,30,1,35,7,0,55,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,21.0,3.8,1.15,1.8,390,30,1,35,7,0,45,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,18.0,3.9,1.0,1.55,500,25,1,35,7,0,45,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,20.0,3.6,1.25,1.85,500,30,1,35,7,0,60,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,20.0,4.0,1.15,1.75,380,30,1,35,7,0,45,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,20.0,4.1,1.2,1.7999999999999998,460,30,1,35,7,0,50,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,20.0,4.0,1.0,1.55,500,27,1,35,7,0,60,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,20.0,3.8,1.5,2.1,420,25,1,35,7,0,65,0,2,2.0,150.0
BELEM - BOA VISTA DO ACARA,PASSAGEIRO,MADEIRA,12.6,2.8,1.7,2.1,190,10,1,29,7,0,45,8,3,0.3,7.0
BELEM - BOA VISTA DO ACARA,PASSAGEIRO,MADEIRA,13.0,2.6,0.8,1.0,114,10,1,29,7,1,35,10,2,0.3,8.0
BELEM - BOA VISTA DO ACARA,PASSAGEIRO,MADEIRA,17.0,3.6,1.0,1.5,240,10,1,29,7,0,55,10,3,0.3,7.0
BELEM - BOA VISTA DO ACARA,PASSAGEIRO,MADEIRA,14.0,2.0,0.7,1.5,149,10,1,29,7,0,46,10,2,0.3,5.0
BELEM - BOA VISTA DO ACARA,PASSAGEIRO,MADEIRA,14.0,3.0,0.8,1.0,136,10,1,29,7,0,40,8,2,0.4,7.0
BELEM - BOA VISTA DO ACARA,PASSAGEIRO,MADEIRA,12.0,2.65,0.75,1.0,170,12,2,29,7,1,40,8,2,0.3,5.0
BELEM - BOA VISTA DO ACARA,PASSAGEIRO,MADEIRA,15.0,3.4,0.78,1.0,113,10,1,29,7,0,59,15,3,0.3,7.0
TUCURUI - BAIAO,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,4.0,1.7,2.3,190,17,1,109,21,1,80,40,3,6.0,300.0
MANAUS - BORBA,PASSAGEIRO/CARGA GERAL,MADEIRA,28.0,7.3,2.2,2.8,360,14,1,109,21,2,111,81,7,24.0,700.0
HUMAITA - MANICORE,PASSAGEIRO/CARGA GERAL,MADEIRA,21.9,5.1,1.3,1.85,200,12,1,109,21,1,70,37,4,22.0,500.0
HUMAITA - MANICORE,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,6.8,2.2,2.45,450,14,1,109,21,1,116,160,6,20.0,600.0
HUMAITA - MANICORE,PASSAGEIRO/CARGA GERAL,MADEIRA,20.7,5.6,1.2,1.68,240,12,1,109,21,2,75,36,4,20.0,500.0
HUMAITA - MANICORE,PASSAGEIRO/CARGA GERAL,MADEIRA,21.4,6.3,1.89,2.01,315,14,1,109,21,2,107,52,7,20.0,600.0
ANAJAS - BREVES,PASSAGEIRO/CARGA GERAL,MADEIRA,27.0,6.65,1.8,2.25,367,13,1,109,21,1,122,129,8,15.0,400.0
ANAJAS - BREVES,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,6.3,1.9,2.8,290,12,1,109,21,2,90,90,6,15.0,300.0
CAMETA - TUCURUI,LANCHA,ALUMINIO,18.3,2.8,1.8,2.0,200,15,1,35,7,0,90,0,3,8.0,500.0
CAMETA - TUCURUI,LANCHA,ALUMINIO,21.0,4.2,1.8,2.0,290,30,2,35,7,1,70,0,3,6.0,500.0
CAMETA - TUCURUI,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,3.8,2.0,2.3,114,10,1,109,21,0,50,20,4,10.0,200.0
CAMETA - TUCURUI,LANCHA,ALUMINIO,17.0,2.8,0.6,0.9,608,40,1,35,7,0,40,0,3,6.0,350.0
CAMETA - LIMOEIRO DO AJURU,LANCHA,ALUMINIO,19.0,2.9,1.2,1.4,420,28,1,35,7,1,82,0,3,2.0,100.0
CAMETA - LIMOEIRO DO AJURU,PASSAGEIRO/CARGA GERAL,MADEIRA,24.0,3.9,1.3,1.6,200,15,1,109,21,0,30,60,3,3.0,60.0
MANAUS - URUCARA,PASSAGEIRO/CARGA GERAL,MADEIRA,24.0,6.7,1.19,1.95,350,15,1,109,21,1,97,120,6,17.0,350.0
MANAUS - URICURITUBA,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,5.6,1.5,1.85,180,12,1,109,21,2,69,50,3,11.0,400.0
MANAUS - URUCARA,PASSAGEIRO/CARGA GERAL,MADEIRA,25.5,6.9,1.8,2.2,400,15,2,109,21,1,118,69,4,10.0,200.0
MANAUS - AUTAZES,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,7.0,1.5,1.9,200,12,2,109,21,2,99,117,4,8.0,300.0
MANAUS - AUTAZES,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,5.25,1.8,2.2,250,12,1,109,21,1,60,40,3,12.0,200.0
MANAUS - ANORI,PASSAGEIRO/CARGA GERAL,MADEIRA,29.0,7.0,1.85,2.3,810,12,1,109,21,1,116,70,6,20.0,500.0
MANAUS - AUTAZES,PASSAGEIRO/CARGA GERAL,ACO NAVAL,38.0,7.3,1.65,2.0,412,20,1,330,64,2,97,150,5,9.0,400.0
MANAUS - ANORI,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,7.0,1.9,2.8,160,10,1,109,21,2,70,40,4,20.0,500.0
CAMETA - MOCAJUBA,PASSAGEIRO/CARGA GERAL,MADEIRA,23.2,5.0,1.0,1.8,180,15,1,109,21,0,61,30,4,3.0,80.0
CAMETA - MOCAJUBA,LANCHA,ALUMINIO,17.2,2.4,0.8,1.0,200,20,1,35,7,0,60,0,2,1.3,80.0
CAMETA - TUCURUI,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,4.0,0.9,1.6,200,20,2,109,21,1,40,5,3,13.0,500.0
CAMETA - MOCAJUBA,LANCHA,ALUMINIO,21.0,3.0,0.6,0.9,240,35,1,35,7,0,90,0,3,1.15,200.0
CAMETA - MOCAJUBA,PASSAGEIRO/CARGA GERAL,MADEIRA,19.5,3.8,0.8,1.2,114,12,1,109,21,1,40,30,3,3.0,50.0
SAO SEBASTIAO DA BOA VISTA - PORTO DE MOZ,OUTRO,MADEIRA,22.1,4.55,0.6,1.5,125,20,1,49,8,2,12,37,4,36.0,600.0
ABAETETUBA - MUANA,PASSAGEIRO,MADEIRA,22.68,5.47,1.0,1.8,270,10,1,29,7,1,83,50,4,3.3,200.0
ABAETETUBA - MUANA,PASSAGEIRO/CARGA GERAL,MADEIRA,22.5,5.4,1.0,1.8,357,12,1,109,21,1,85,45,3,3.3,100.0
ABAETETUBA - LIMOEIRO DO AJURU,OUTRO,MADEIRA,19.0,3.7,0.9,1.1,180,15,1,49,8,0,20,30,3,5.0,100.0
ABAETETUBA - LIMOEIRO DO AJURU,LANCHA,ALUMINIO,26.0,4.1,0.65,1.4,954,25,2,35,7,1,100,0,3,2.0,225.0
ABAETETUBA - SAO SEBASTIAO DA BOA VISTA,PASSAGEIRO/CARGA GERAL,MADEIRA,16.45,3.1,0.9,1.8,369,12,1,109,21,0,20,14,3,8.0,100.0
ABAETETUBA - SAO SEBASTIAO DA BOA VISTA,PASSAGEIRO/CARGA GERAL,MADEIRA,15.0,3.0,0.9,1.8,114,15,1,109,21,1,16,40,4,7.0,100.0
BELEM - COMBU,PASSAGEIRO,MADEIRA,12.0,2.3,1.0,1.2,490,10,1,29,7,1,28,0,2,0.3,40.0
BELEM - COMBU,PASSAGEIRO,MADEIRA,14.0,2.8,0.7,1.0,490,10,1,29,7,0,45,0,2,0.4,40.0
BELEM - COMBU,PASSAGEIRO,MADEIRA,15.0,2.0,1.0,1.1,400,10,1,29,7,1,25,0,3,0.3,30.0
BELEM - COMBU,PASSAGEIRO,MADEIRA,10.0,2.3,1.0,1.0,80,10,1,29,7,1,25,0,2,0.35,30.0
BELEM - COMBU,PASSAGEIRO,MADEIRA,12.0,2.0,0.7,1.0,160,10,1,29,7,1,22,0,2,0.3,40.0
BELEM - COMBU,PASSAGEIRO,MADEIRA,12.0,2.4,1.1,1.3,160,10,1,29,7,1,28,0,2,0.3,30.0
SANTAREM - PRAINHA,PASSAGEIRO/CARGA GERAL,MADEIRA,23.0,6.0,1.4,2.0,135,10,1,109,21,2,83,109,4,9.0,200.0
SANTAREM - PRAINHA,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,7.6,1.0,1.2,215,19,1,109,21,2,76,98,5,9.0,250.0
SANTAREM - ALENQUER,PASSAGEIRO/CARGA GERAL,MADEIRA,32.0,7.4,2.0,2.6,400,15,1,109,21,2,160,90,6,7.0,500.0
SANTAREM - PARINTINS,PASSAGEIRO/CARGA GERAL,MADEIRA,27.0,6.4,1.8,2.0,315,29,2,109,21,2,96,157,6,8.0,700.0
SANTAREM - ORIXIMINA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,37.0,8.0,2.22,2.6,600,13,1,330,64,2,327,406,7,10.0,700.0
SANTAREM - BOA AVISTA,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,6.0,1.1,1.8,114,25,1,109,21,2,73,45,3,12.0,180.0
SANTAREM - ALENQUER,PASSAGEIRO/CARGA GERAL,MADEIRA,25.7,6.4,1.685,2.7,360,14,1,109,21,1,142,330,4,5.0,200.0
SANTAREM - ALENQUER,PASSAGEIRO/CARGA GERAL,MADEIRA,24.0,6.0,1.26,2.3,200,10,2,109,21,2,99,100,4,5.0,150.0
SANTAREM - MONTE ALEGRE,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,6.5,1.8,2.4,367,8,1,109,21,3,136,149,4,5.0,300.0
SANTAREM - JURUTI,PASSAGEIRO/CARGA GERAL,MADEIRA,26.2,6.3,1.93,2.5,420,15,1,109,21,2,115,120,7,11.0,600.0
SANTAREM - ALENQUER,PASSAGEIRO/CARGA GERAL,MADEIRA,31.0,6.8,2.1,2.7,420,8,1,109,21,2,132,150,4,5.0,200.0
SANTAREM - JURUTI,PASSAGEIRO/CARGA GERAL,MADEIRA,28.0,6.0,2.0,2.2,315,10,1,109,21,1,80,70,7,12.0,600.0
SANTAREM - MONTE ALEGRE,PASSAGEIRO/CARGA GERAL,MADEIRA,31.0,6.0,1.2,1.5,420,19,1,109,21,2,135,60,5,5.0,250.0
SANTAREM - ORIXIMINA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,37.0,8.0,1.1,1.3,565,10,1,330,64,3,308,208,6,8.0,700.0
SANTAREM - MONTE ALEGRE,PASSAGEIRO/CARGA GERAL,MADEIRA,30.2,6.92,1.815,2.44,420,14,2,109,21,2,128,120,3,5.0,200.0
SANTAREM - VILA BOIM,PASSAGEIRO/CARGA GERAL,MADEIRA,23.0,4.3,1.6,2.4,200,15,1,109,21,2,90,47,4,8.0,300.0
SANTAREM - ALENQUER,PASSAGEIRO/CARGA GERAL,MADEIRA,30.0,7.2,2.1,2.73,373,13,1,109,21,2,180,100,6,6.0,500.0
SANTAREM - PRAINHA,PASSAGEIRO/CARGA GERAL,MADEIRA,62.78,5.2,1.74,2.8,210,18,1,109,21,1,70,56,4,8.0,250.0
SANTAREM - MONTE ALEGRE,PASSAGEIRO/CARGA GERAL,MADEIRA,28.99,7.25,1.3,2.3,420,10,2,109,21,2,130,100,7,5.0,400.0
SANTAREM - ALENQUER,PASSAGEIRO/CARGA GERAL,MADEIRA,31.8,6.9,1.6,1.9,315,15,1,109,21,2,195,120,4,5.0,200.0
SANTAREM - ALENQUER,PASSAGEIRO/CARGA GERAL,MADEIRA,27.0,6.0,2.0,2.0,315,10,2,109,21,1,107,80,5,5.0,200.0
MACAPA - AFUA,LANCHA,ALUMINIO,21.0,4.2,1.2,1.6,360,22,2,35,7,1,98,0,3,2.0,700.0
MACAPA - AFUA,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,6.5,1.7,2.0,264,11,1,109,21,1,100,80,4,4.0,400.0
MACAPA - AFUA,PASSAGEIRO,MADEIRA,21.0,4.9,1.0,3.0,190,10,1,29,7,1,47,25,3,4.0,400.0
MACAPA - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,4.0,1.2,3.0,290,23,1,109,21,1,40,30,6,7.0,250.0
MACAPA - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,18.5,4.0,1.5,2.4,190,8,1,109,21,3,60,30,3,7.0,250.0
MACAPA - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,17.0,3.0,1.5,1.9,200,9,1,109,21,1,35,14,3,5.0,500.0
MACAPA - AFUA,LANCHA,ALUMINIO,20.0,4.5,1.0,1.22,260,29,1,35,7,1,94,0,5,2.4,400.0
MACAPA - AFUA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,38.5,8.0,1.7,2.55,954,15,2,330,64,1,300,199,6,4.0,400.0
BELEM - BARCARENA,LANCHA,ALUMINIO,19.0,3.0,1.3,1.3,350,25,2,35,7,1,70,0,3,0.45,80.0
BELEM - COTIJUBA,LANCHA,MADEIRA,40.0,4.3,1.5,2.0,350,25,1,28,5,0,85,0,2,0.4,40.0
BELEM - BARCARENA,LANCHA,MADEIRA,19.0,4.0,1.3,1.8,420,16,1,28,5,1,99,0,3,1.1,70.0
BELEM - SAO FRANCISCO,LANCHA,ALUMINIO,21.0,3.0,1.3,1.9,215,24,1,35,7,1,93,0,3,0.5,70.0
BELEM - BARCARENA,LANCHA,ALUMINIO,10.0,3.0,1.0,1.2,410,22,1,35,7,1,58,0,3,0.45,60.0
BELEM - BARCARENA,LANCHA,ALUMINIO,19.5,5.7,1.2,1.8,350,21,1,35,7,1,80,0,4,0.45,70.0
BELEM - SAO FRANCISCO,LANCHA,ALUMINIO,19.25,4.3,1.3,1.8,420,23,1,35,7,1,60,0,2,0.45,70.0
TURISMO,PASSAGEIRO/CARGA GERAL,MADEIRA,43.0,8.2,2.0,2.58,600,23,5,109,21,2,453,175,6,3.0,150.0
BELEM - MUANA,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,6.2,1.0,1.5,420,19,1,109,21,2,143,67,4,6.0,600.0
BELEM - BREVES,OUTRO,MADEIRA,23.4,5.0,1.6,2.2,190,10,1,49,8,1,15,49,3,16.0,300.0
BELEM - CAMETA,OUTRO,MADEIRA,15.0,4.0,1.3,3.3,125,14,1,49,8,1,12,20,4,12.0,250.0
BELEM - BREVES,OUTRO,MADEIRA,23.0,5.0,2.2,3.0,114,8,1,49,8,1,15,70,4,18.0,200.0
BELEM - BREVES,OUTRO,MADEIRA,16.2,2.9,0.55,1.1,114,10,1,49,8,0,10,40,3,18.0,250.0
BELEM - BAGRE,PASSAGEIRO/CARGA GERAL,MADEIRA,30.0,6.0,1.5,2.0,410,10,1,109,21,1,80,120,6,15.0,700.0
BELEM - CURRALINHO,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,5.0,1.6,1.6,367,12,1,109,21,1,92,100,8,10.0,200.0
BELEM - CURRALINHO,PASSAGEIRO/CARGA GERAL,MADEIRA,17.0,4.0,1.5,2.0,240,15,1,109,21,1,25,35,3,10.0,200.0
BELEM - LIMOEIRO DO AJURU,PASSAGEIRO/CARGA GERAL,MADEIRA,22.4,4.7,1.75,2.9,196,12,1,109,21,0,36,40,3,8.0,200.0
BELEM - MUANA,PASSAGEIRO/CARGA GERAL,MADEIRA,19.0,5.0,1.2,1.67,114,8,1,109,21,1,10,60,3,10.0,200.0
BELEM - CURRALINHO,PASSAGEIRO/CARGA GERAL,MADEIRA,17.0,4.0,1.5,2.0,180,12,1,109,21,1,60,30,3,10.0,200.0
BELEM - LIMOEIRO DO AJURU,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,6.1,1.642,2.0,450,12,1,109,21,1,132,60,4,8.0,250.0
BELEM - SAO SEBASTIAO DA BOA VISTA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,30.0,7.0,2.0,2.8,567,8,2,330,64,2,205,160,4,8.0,500.0
TEFE - UARINI,LANCHA,ALUMINIO,11.0,3.0,0.75,1.2,2100,16,2,35,7,0,38,8,2,24.0,160.0
PORTO VELHO - CALAMA,CHATA,MADEIRA,25.2,6.0,1.8,3.2,357,16,1,35,6,1,90,60,3,8.0,400.0
PORTO VELHO - CALAMA,CHATA,MADEIRA,27.3,7.0,1.67,2.2,315,12,1,35,6,1,134,73,4,10.0,400.0
ANORI - MANACAPURU,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,4.8,1.0,1.45,180,14,1,109,21,1,40,0,2,8.0,500.0
ANORI - MANACAPURU,CHATA,MADEIRA,21.0,5.7,2.0,2.8,170,20,1,35,6,1,45,0,2,8.0,500.0
AUTAZES - ITACOATIARA,CHATA,MADEIRA,21.0,5.7,2.0,2.8,170,20,3,35,6,2,50,15,6,6.0,150.0
AUTAZES - BORBA,CHATA,MADEIRA,17.0,6.0,1.5,2.0,114,16,1,35,6,1,60,15,3,12.0,300.0
BAGRE - BREVES,LANCHA,ALUMINIO,19.9,6.0,1.2,1.7,426,30,1,35,7,0,48,0,2,1.3,125.0
BREVES - PORTEL,LANCHA,ACO NAVAL,25.0,3.5,0.8,1.5,600,19,2,21,6,1,114,0,2,1.4,140.0
BREVES - PORTEL,LANCHA,MADEIRA,22.0,5.5,2.5,3.3,240,13,1,28,5,1,93,70,8,2.3,90.0
BREVES - PORTEL,PASSAGEIRO,ALUMINIO,19.7,3.2,0.45,2.7,420,19,1,27,6,1,57,0,2,1.45,150.0
ITAITUBA - AVEIRO,PASSAGEIRO/CARGA GERAL,MADEIRA,20.5,4.3,1.29,2.2,120,12,1,109,21,1,39,46,3,6.0,150.0
ITAITUBA - AVEIRO,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,4.0,1.0,1.2,200,12,1,109,21,1,45,20,3,7.0,150.0
ITAITUBA - AVEIRO,PASSAGEIRO/CARGA GERAL,MADEIRA,17.5,4.1,0.8,1.2,160,12,1,109,21,1,33,18,3,8.0,120.0
ITAITUBA - AVEIRO,PASSAGEIRO/CARGA GERAL,MADEIRA,30.0,8.0,1.6,2.0,300,15,1,109,21,1,85,40,4,6.0,140.0
ITAITUBA - AVEIRO,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,4.2,1.0,1.3,200,15,1,109,21,1,35,20,3,7.0,150.0
ITAITUBA - AVEIRO,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,4.0,1.2,1.4,280,15,1,109,21,1,45,20,3,8.0,160.0
MUANA - CACHOEIRA DO ARARI,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,4.8,2.31,2.5,150,20,1,109,21,1,30,44,4,9.0,150.0
ORIXIMINA - PORTO TROMBETAS,PASSAGEIRO/CARGA GERAL,MADEIRA,20.5,5.4,1.85,1.85,200,18,1,109,21,2,68,36,3,5.0,150.0
ORIXIMINA - PORTO TROMBETAS,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,4.4,1.44,1.65,240,13,2,109,21,1,45,25,3,4.0,300.0
ORIXIMINA - PORTO TROMBETAS,PASSAGEIRO/CARGA GERAL,ACO NAVAL,34.86,7.2,1.96,2.4,600,12,2,330,64,2,260,146,7,4.0,200.0
ORIXIMINA - PORTO TROMBETAS,PASSAGEIRO/CARGA GERAL,MADEIRA,24.7,6.3,1.92,2.4,313,12,1,109,21,0,100,162,5,4.0,350.0
