LINHA,TIPO_EMBARCACAO,MAT_CASCO,COMPRIMENTO,BOCA,CALADO,PONTAL,POTENCIA,VELOCIDADE,NUM_PROP,TPB,DESLOC_LEVE,NUM_GERADORES,CAP_PASSAGEIROS,CAP_CARGA,TRIPULANTES,DURACAO_VIAGEM,CONSUMO_COMBUSTIVEL
ORIXIMINA - PORTO TROMBETAS,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,5.8,1.9,2.4,180,12,2,109,21,1,50,50,4,4.0,250.0
SAO SEBASTIAO DA BOA VISTA - LARANJAL DO JARI (AMAPA),OUTRO,MADEIRA,21.5,4.75,1.8,1.8,125,20,1,49,8,2,45,60,5,80.0,700.0
SAO SEBASTIAO DA BOA VISTA - PORTEL,OUTRO,MADEIRA,12.0,2.6,1.3,1.8,260,15,1,49,8,0,14,8,2,12.0,60.0
SAO SEBASTIAO DA BOA VISTA - OEIRAS DO PARA,OUTRO,MADEIRA,16.0,3.3,0.9,1.1,114,15,1,49,8,0,14,15,2,4.0,50.0
SAO SEBASTIAO DA BOA VISTA - OEIRAS DO PARA,OUTRO,MADEIRA,16.5,3.5,1.5,1.7,114,15,1,49,8,0,14,30,3,5.0,200.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,8.7,2.0,1.1,1.2,200,40,1,528,98,1,21,7,1,0.3,40.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,7.5,1.55,0.5,1.0,150,40,1,528,98,1,16,8,1,0.3,45.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,7.2,1.9,0.7,1.0,200,40,1,528,98,1,16,8,1,0.3,50.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,7.7,2.08,0.7,1.0,200,35,1,528,98,1,22,9,1,0.3,45.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,7.82,1.7,0.6,1.0,200,30,1,528,98,0,22,12,1,0.3,40.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,17.75,2.25,0.69,0.8,200,40,1,528,98,1,14,10,1,0.3,45.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,11.9,1.9,0.7,1.0,200,40,1,528,98,1,22,10,1,0.3,40.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,7.16,1.76,0.45,1.0,150,15,1,528,98,1,14,6,1,0.3,45.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,7.62,2.29,2.3,2.8,250,30,1,528,98,0,18,9,1,0.3,40.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,8.6,2.1,0.5,0.65,200,30,1,528,98,0,22,12,1,0.3,50.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,8.0,2.1,0.4,1.0,200,40,1,528,98,1,18,8,1,0.3,45.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,7.2,1.9,0.6,1.0,200,32,1,528,98,1,17,8,1,0.3,45.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,7.84,2.33,0.38,1.0,150,28,1,528,98,0,21,11,2,0.3,45.0
TABATINGA - BENJAMIN CONSTANT,FERRY BOAT,FIBRA,8.0,1.8,0.6,1.0,200,40,1,528,98,1,18,8,1,0.3,40.0
TEFE - UARINI,PASSAGEIRO/CARGA GERAL,MADEIRA,7.2,2.5,0.7,1.0,200,40,1,109,21,1,25,0,2,6.0,250.0
TEFE - UARINI,PASSAGEIRO/CARGA GERAL,MADEIRA,11.9,2.2,0.7,1.0,200,40,1,109,21,1,25,0,2,6.0,250.0
TEFE - UARINI,PASSAGEIRO/CARGA GERAL,MADEIRA,7.7,2.1,0.7,1.0,200,35,1,109,21,1,20,0,2,6.0,250.0
TEFE - UARINI,PASSAGEIRO/CARGA GERAL,MADEIRA,22.26,5.14,1.56,1.8,170,10,3,109,21,0,60,15,2,6.0,250.0
TEFE - UARINI,PASSAGEIRO/CARGA GERAL,MADEIRA,14.0,3.0,1.0,1.3,200,10,1,109,21,1,28,0,2,6.0,250.0
BELEM - CAMARA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,60.0,12.0,1.4,3.0,600,14,2,330,64,2,870,0,6,3.0,600.0
BELEM - CAMARA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,43.0,8.5,2.5,2.8,367,13,2,330,64,2,600,0,4,3.0,600.0
BAGRE - BREVES,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,6.0,1.0,1.8,200,20,1,109,21,1,80,24,3,3.0,75.0
BAGRE - BREVES,LANCHA,ALUMINIO,20.0,4.6,1.5,1.7,477,13,1,35,7,1,48,0,3,3.0,75.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,14.35,2.6,0.6,0.9,120,14,1,29,7,1,70,0,3,0.45,18.0
ICOARACI - COTIJUBA,PASSAGEIRO/CARGA GERAL,MADEIRA,13.0,3.2,0.8,1.6,313,10,1,109,21,1,50,0,2,0.45,50.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,14.0,3.8,1.2,1.6,270,16,1,29,7,1,66,0,3,0.35,20.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,21.0,4.0,0.8,1.2,150,11,1,29,7,1,88,0,3,0.45,30.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,16.5,3.4,1.5,1.8,125,12,1,29,7,1,80,0,3,0.35,30.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,14.8,2.85,0.75,1.0,125,12,1,29,7,1,60,0,3,0.45,20.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,14.0,13.1,1.2,1.35,114,18,1,29,7,0,57,0,2,0.45,40.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,16.96,2.96,0.49,1.0,160,14,1,29,7,1,68,0,3,0.45,30.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,18.0,3.7,1.2,1.6,270,12,1,29,7,1,100,0,3,0.45,30.0
ICOARACI - COTIJUBA,PASSAGEIRO/CARGA GERAL,MADEIRA,17.0,2.8,2.0,2.5,170,18,2,109,21,2,100,15,3,0.45,40.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,12.0,3.2,0.45,1.0,190,10,1,29,7,1,60,0,3,0.45,30.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,28.0,6.2,1.35,1.7,800,15,2,29,7,2,350,0,4,0.45,50.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,17.0,4.0,1.5,2.4,190,18,1,29,7,0,100,0,3,0.45,15.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,11.1,2.88,0.6,0.95,213,10,1,29,7,1,50,0,2,0.45,30.0
ICOARACI - COTIJUBA,PASSAGEIRO/CARGA GERAL,MADEIRA,12.6,2.8,0.6,1.1,135,10,1,109,21,1,50,7,2,0.45,30.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,24.0,4.8,1.17,1.3,180,12,1,29,7,1,120,0,3,0.45,50.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,14.69,2.9,0.6,1.4,220,14,1,29,7,0,69,0,3,0.45,25.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,13.5,2.95,0.75,1.0,180,14,1,29,7,1,50,0,2,0.45,40.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,16.9,3.6,0.75,1.0,125,10,1,29,7,1,66,0,3,0.45,20.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,15.0,3.3,0.5,1.1,115,10,1,29,7,1,90,0,3,0.45,30.0
ICOARACI - COTIJUBA,PASSAGEIRO/CARGA GERAL,MADEIRA,12.35,2.48,0.65,0.86,170,14,1,109,21,0,46,0,2,0.45,20.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,19.0,4.2,1.3,1.7,200,12,1,29,7,1,100,0,3,0.4,20.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,16.14,2.94,0.9,1.2,190,14,1,29,7,0,43,0,3,0.45,20.0
BAGRE - BREVES,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,4.0,1.3,1.5,114,10,1,109,21,1,36,36,4,3.0,50.0
CURRALINHO - OEIRAS DO PARA,LANCHA,ALUMINIO,6.0,2.5,1.0,1.3,120,30,1,35,7,0,32,0,2,0.5,27.0
ABAETETUBA - PONTA DE PEDRAS,PASSAGEIRO/CARGA GERAL,MADEIRA,15.0,3.1,0.9,1.8,114,15,1,109,21,0,16,18,5,3.0,100.0
ALENQUER - CURUA,PASSAGEIRO/CARGA GERAL,MADEIRA,15.0,3.7,1.0,1.2,135,15,1,109,21,1,22,10,2,3.0,40.0
ALENQUER - CURUA,PASSAGEIRO,MADEIRA,15.0,4.0,1.0,1.2,261,12,1,29,7,0,30,14,2,3.0,50.0
ALENQUER - CURUA,PASSAGEIRO/CARGA GERAL,MADEIRA,15.75,3.75,1.3,1.3,313,15,1,109,21,1,30,13,2,3.0,50.0
ALENQUER - CURUA,PASSAGEIRO/CARGA GERAL,MADEIRA,15.7,3.2,1.0,1.2,220,15,1,109,21,1,35,15,3,3.0,50.0
ALENQUER - CURUA,PASSAGEIRO/CARGA GERAL,MADEIRA,15.92,3.2,1.0,1.2,125,10,1,109,21,1,28,8,3,3.0,40.0
BARREIRINHA - BOA VISTA DO RAMOS,OUTRO,MADEIRA,25.0,6.3,1.8,2.9,190,10,1,49,8,1,80,40,3,5.0,350.0
BARREIRINHA - MAUES,OUTRO,MADEIRA,17.0,6.0,1.9,2.3,114,12,1,49,8,1,75,40,3,12.0,200.0
BARREIRINHA - PEDRAS,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,5.0,1.5,2.0,114,12,1,109,21,1,60,36,3,2.0,20.0
BARREIRINHA - BOA VISTA DO RAMOS,LANCHA,ALUMINIO,9.0,2.3,1.0,1.3,150,15,1,35,7,0,32,15,2,2.0,150.0
BARREIRINHA - PEDRAS,LANCHA,ALUMINIO,11.0,4.1,1.5,2.0,150,15,1,35,7,0,30,12,2,1.0,50.0
BERURI - MANACAPURU,CHATA,MADEIRA,10.6,2.5,1.85,2.05,400,12,1,35,6,1,35,15,2,2.3,275.0
BERURI - MANACAPURU,CHATA,MADEIRA,22.0,5.5,1.2,1.6,200,12,1,35,6,2,40,35,4,2.3,250.0
BERURI - MANACAPURU,CHATA,MADEIRA,21.0,5.7,2.0,2.8,170,20,3,35,6,0,50,20,2,3.0,90.0
BERURI - MANACAPURU,CHATA,MADEIRA,17.3,2.96,0.6,1.24,400,12,2,35,6,1,40,15,2,3.5,275.0
BOA VISTA DE RAMOS - MAUES,CHATA,MADEIRA,22.0,5.5,1.2,1.6,200,12,1,35,6,2,35,15,2,2.3,300.0
BOA VISTA DE RAMOS - MAUES,CHATA,MADEIRA,18.0,3.0,1.0,2.5,144,12,1,35,6,2,40,18,2,2.3,300.0
BOA VISTA DE RAMOS - MAUES,PASSAGEIRO,ALUMINIO,8.0,2.3,1.0,1.5,150,15,1,27,6,0,22,12,2,1.15,55.0
BOA VISTA DE RAMOS - MAUES,CHATA,MADEIRA,11.0,4.1,1.5,2.0,150,15,1,35,6,1,30,15,2,2.3,300.0
BOA VISTA DE RAMOS - MAUES,PASSAGEIRO/CARGA GERAL,MADEIRA,16.0,3.2,1.2,1.8,114,12,2,109,21,1,30,15,2,5.0,60.0
ITACOATIARA - URICURITUBA,CHATA,MADEIRA,25.0,5.0,1.5,2.0,114,12,1,35,6,1,65,30,2,6.0,400.0
JURUTI-  JURUTI VELHO,PASSAGEIRO/CARGA GERAL,MADEIRA,17.83,4.0,0.97,1.3,114,10,2,109,21,0,64,20,2,3.0,50.0
JURUTI - PARINTINS,PASSAGEIRO/CARGA GERAL,MADEIRA,20.3,5.0,1.78,2.1,160,10,1,109,21,2,61,40,3,6.0,150.0
JURUTI - OBIDOS,PASSAGEIRO/CARGA GERAL,MADEIRA,19.96,4.8,1.09,1.5,170,10,1,109,21,1,47,23,3,5.0,80.0
JURUTI - PARINTINS,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,5.5,2.0,2.5,270,16,1,109,21,1,60,20,3,5.0,130.0
JURUTI-  JURUTI VELHO,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,4.9,1.0,1.4,114,10,1,109,21,1,40,20,3,4.0,60.0
JURUTI - OBIDOS,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,5.0,1.2,2.0,160,11,1,109,21,1,38,15,2,6.0,60.0
JURUTI-  JURUTI VELHO,PASSAGEIRO/CARGA GERAL,MADEIRA,17.7,4.5,0.8,1.1,610,20,1,109,21,1,30,15,3,3.0,50.0
MANACAPURU - CAAPIRANGA,CHATA,MADEIRA,18.0,3.4,2.0,3.15,430,20,1,35,6,1,55,20,2,6.0,300.0
MANACAPURU - CAAPIRANGA,CHATA,MADEIRA,16.0,3.2,1.8,2.0,430,20,1,35,6,1,50,20,2,6.0,300.0
MOCAJUBA - TUCURUI,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,3.8,1.8,2.0,240,20,1,109,21,1,80,20,4,12.0,175.0
PARINTINS - TERRA SANTA,LANCHA,ALUMINIO,13.0,3.0,1.0,1.145,150,18,2,35,7,1,30,0,2,2.0,160.0
PARINTINS - BARREIRINHA,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,4.0,1.5,2.0,1700,12,1,109,21,1,50,50,3,5.0,500.0
PARINTINS - BARREIRINHA,PASSAGEIRO/CARGA GERAL,MADEIRA,23.0,4.0,1.5,2.0,120,12,1,109,21,1,45,60,3,5.0,500.0
PARINTINS - MAUES,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,4.0,1.5,2.0,315,15,1,109,21,1,87,52,5,12.0,600.0
PARINTINS - MOCAMBO,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,5.0,1.5,2.0,200,12,1,109,21,1,100,70,3,5.0,120.0
PARINTINS - MAUES,PASSAGEIRO/CARGA GERAL,MADEIRA,25.8,7.8,1.8,2.3,315,18,1,109,21,1,84,98,4,16.0,300.0
PARINTINS - BARREIRINHA,LANCHA,ALUMINIO,10.0,3.0,1.5,2.0,130,12,1,35,7,0,35,0,2,5.0,500.0
PARINTINS - TERRA SANTA,LANCHA,MADEIRA,10.0,3.0,1.5,2.0,130,18,1,28,5,0,45,0,2,1.15,60.0
PARINTINS - URUCARA,CHATA,MADEIRA,23.0,6.2,1.7,2.1,315,10,3,35,6,1,76,60,3,12.0,600.0
PARINTINS - FARO,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,3.0,1.1,1.8,270,12,1,109,21,1,58,60,3,4.0,100.0
PARINTINS - CAMETA DOS RAMOS,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,6.0,1.5,2.1,114,12,1,109,21,1,40,16,2,8.0,500.0
SANTA CRUZ DO ARARI - CACHOEIRA DO ARARI,LANCHA,ALUMINIO,13.0,3.0,1.0,1.8,490,30,1,35,7,0,16,0,2,1.5,90.0
SANTA CRUZ DO ARARI - CACHOEIRA DO ARARI,LANCHA,ALUMINIO,10.0,2.2,0.9,1.3,150,32,1,35,7,0,20,0,2,2.0,120.0
BAGRE - BREVES,PASSAGEIRO,MADEIRA,21.0,4.8,1.6,1.8,180,20,1,29,7,0,50,0,4,4.0,50.0
BELEM - SAO SEBASTIAO DA BOA VISTA,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,7.4,2.4,2.6,550,25,1,109,21,2,225,240,4,8.0,600.0
BELEM - ACARA,PASSAGEIRO/CARGA GERAL,MADEIRA,17.0,3.95,0.8,1.1,350,12,1,109,21,2,25,16,3,8.0,60.0
BELEM - ACARA,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,4.0,2.0,3.0,114,9,1,109,21,0,37,40,3,9.0,60.0
ALENQUER - CURUA,PASSAGEIRO/CARGA GERAL,MADEIRA,15.0,3.7,1.0,1.2,135,15,1,15,3,1,22,10,2,3.0,40.0
ORIXIMINA - JURUTI,PASSAGEIRO/CARGA GERAL,MADEIRA,20.5,5.4,1.85,2.1,200,18,1,40,8,2,68,36,3,5.0,150.0
CAMETA - TUCURUI,LANCHA,ALUMINIO,18.3,2.8,1.8,2.0,200,18,1,20,5,0,90,0,3,8.0,500.0
CAMETA - TUCURUI,LANCHA,ALUMINIO,21.0,4.2,1.8,2.0,290,25,2,20,5,1,70,0,3,6.0,500.0
MACAPA - AFUA,LANCHA,ALUMINIO,21.0,4.2,1.2,1.6,360,22,2,20,5,1,98,0,3,2.0,700.0
ICOARACI - CAMARA,FERRY BOAT,ACO NAVAL,63.0,12.0,1.2,1.6,420,12,2,340,60,2,436,300,6,2.5,400.0
ITAITUBA - AVEIRO,PASSAGEIRO/CARGA GERAL,MADEIRA,20.5,4.3,1.29,2.2,120,12,1,57,13,1,39,46,3,60.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,18.0,3.9,1.2,1.8,420,25,1,35,7,0,65,0,2,2.0,150.0
PARINTINS - TERRA SANTA,LANCHA,ALUMINIO,13.0,3.0,1.0,1.15,150,18,2,35,7,1,30,0,2,2.0,160.0
MANAUS - CAREIRO DA VARZEA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,40.75,9.0,1.15,1.5,200,10,1,45,10,2,60,36,3,2.0,250.0
BELEM - SAO FRANCISCO,LANCHA,ALUMINIO,19.9,3.3,0.52,1.0,580,25,2,15,4,0,100,0,3,0.8,180.0
BERURI - MANACAPURU,LANCHA,MADEIRA,10.6,2.5,1.85,2.05,400,12,1,20,5,1,35,15,2,2.5,275.0
SANTANA - BREVES,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,5.0,1.7,2.2,147,15,1,60,8,1,62,50,4,8.0,500.0
MANAUS - BELA VISTA,PASSAGEIRO/CARGA GERAL,MADEIRA,18.5,5.0,1.4,2.1,140,12,1,82,15,1,50,65,3,12.0,700.0
MANAUS - URUCARA,PASSAGEIRO/CARGA GERAL,MADEIRA,24.0,6.7,1.19,1.95,350,15,1,145,21,1,97,120,6,17.0,350.0
MANAUS - MANAQUIRI,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,5.5,1.5,2.0,315,10,1,100,15,1,80,85,4,5.0,225.0
PARINTINS - BARREIRINHA,PASSAGEIRO/CARGA GERAL,MADEIRA,23.0,4.0,1.5,2.0,120,12,1,75,15,1,45,60,3,5.0,500.0
SANTAREM - INALU,PASSAGEIRO/CARGA GERAL,MADEIRA,17.6,4.2,1.8,2.0,612,15,1,22,4,1,60,19,2,6.0,180.0
ALENQUER - CURUA,LANCHA,ALUMINIO,15.0,3.5,0.9,1.1,600,17,1,35,7,1,30,0,2,0.8,50.0
BELEM - CAMARA,LANCHA,ALUMINIO,19.79,4.0,0.5,1.6,830,23,2,57,12,2,140,48,3,1.5,250.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,20.0,3.8,0.8,1.4,420,25,1,35,7,0,60,0,2,2.0,150.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,17.0,3.6,1.2,1.8,460,30,1,35,7,0,60,0,2,2.0,150.0
MANAUS - TAPAUA,PASSAGEIRO/CARGA GERAL,MADEIRA,29.0,7.3,1.8,2.2,480,12,2,135,25,2,159,100,5,12.0,500.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,19.0,4.3,1.0,1.6,460,30,1,35,7,0,60,0,2,2.0,150.0
SANTANA - BREVES,FERRY BOAT,ACO NAVAL,27.1,7.04,1.2,1.45,600,12,1,110,25,2,160,80,4,12.0,700.0
BELEM - ARAPARI,LANCHA,ALUMINIO,32.0,4.2,1.4,1.8,800,20,1,25,10,1,135,0,3,0.5,250.0
ORIXIMINA - JURUTI,PASSAGEIRO/CARGA GERAL,MADEIRA,29.0,7.8,1.6,2.0,300,13,1,90,18,1,89,80,3,5.0,180.0
MANAUS - NOVO REMANSO,PASSAGEIRO/CARGA GERAL,MADEIRA,23.0,4.0,2.0,2.9,200,12,2,485,90,2,100,400,3,6.0,350.0
MANAUS - CAREIRO DA VARZEA,LANCHA,ALUMINIO,17.0,3.8,1.4,2.0,480,25,1,35,7,0,45,0,2,2.0,150.0
CAMETA - MOCAJUBA,PASSAGEIRO/CARGA GERAL,MADEIRA,18.3,3.4,1.2,1.6,114,14,1,20,6,1,40,15,3,3.0,50.0
ICOARACI - COTIJUBA,PASSAGEIRO,MADEIRA,14.35,2.6,0.6,0.9,120,14,1,51,15,1,70,0,3,0.8,18.0
MANAUS - BARREIRINHA,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,4.0,1.5,2.0,315,15,1,67,13,1,87,52,5,12.0,600.0
BAGRE - BREVES,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,6.0,1.0,1.8,200,20,1,32,8,1,80,24,3,3.0,75.0
ANAJAS - BREVES,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,6.0,1.3,3.0,290,12,1,40,8,1,100,65,4,10.0,400.0
BARREIRINHA - BOA VISTA DO RAMOS,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,6.3,1.8,2.9,190,10,1,50,8,1,80,40,3,5.0,350.0
BELEM - COTIJUBA,PASSAGEIRO,MADEIRA,40.0,4.3,1.5,2.0,350,25,1,30,6,0,85,0,2,1.0,40.0
ORIXIMINA - PORTO TROMBETAS,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,4.4,1.44,1.65,240,13,2,25,4,1,45,25,3,4.0,300.0
SANTAREM - JURUTI,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,6.0,1.8,2.25,313,12,1,10,3,1,100,44,7,12.0,600.0
SANTAREM - LAGO GRANDE,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,4.3,1.0,2.3,114,17,1,12,2,3,40,12,3,6.0,60.0
TABATINGA - BENJAMIN CONSTANT,CHATA,FIBRA,7.5,1.55,0.5,1.0,150,40,1,10,3,1,16,8,1,0.5,45.0
CURRALINHO - OEIRAS DO PARA,LANCHA,ALUMINIO,10.0,2.7,0.9,1.1,250,20,1,20,4,0,36,0,2,0.4,30.0
CURRALINHO - OEIRAS DO PARA,LANCHA,ALUMINIO,6.0,2.5,1.0,1.3,120,25,1,23,6,0,32,0,2,0.4,27.0
SANTANA - LARANJAL  DO JARI,PASSAGEIRO/CARGA GERAL,MADEIRA,25.7,6.2,1.57,2.0,270,16,2,93,20,2,145,80,6,26.0,700.0
BELEM - MUANA,PASSAGEIRO/CARGA GERAL,MADEIRA,24.2,5.8,1.72,2.0,367,12,1,100,25,1,100,80,3,8.0,150.0
BELEM - CACHOEIRA DO ARARI,LANCHA,ALUMINIO,20.0,3.75,0.6,1.15,600,28,1,23,6,1,79,0,3,2.5,250.0
MANAUS - NOVO AIRAO,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,7.2,2.1,2.35,480,14,1,55,10,1,96,45,5,9.0,600.0
BELEM - BAGRE,PASSAGEIRO/CARGA GERAL,MADEIRA,30.0,6.0,1.5,2.0,410,12,1,120,20,1,80,120,6,15.0,700.0
BELEM - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,16.0,3.8,1.0,1.5,114,12,1,13,4,1,12,10,3,18.0,350.0
SANTAREM - CACHOEIRA DO ARUA,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,4.3,1.0,1.25,160,14,1,18,5,1,45,18,3,10.0,400.0
SANTANA - LARANJAL  DO JARI,PASSAGEIRO/CARGA GERAL,MADEIRA,25.0,6.0,1.6,2.0,290,18,2,150,28,1,82,100,6,21.0,600.0
SANTAREM - SAO PEDRO,PASSAGEIRO/CARGA GERAL,MADEIRA,17.2,4.5,1.2,1.3,125,15,1,25,4,1,45,18,3,5.0,125.0
TEFE - UARINI,PASSAGEIRO/CARGA GERAL,MADEIRA,7.2,2.5,0.7,1.0,200,40,1,109,21,1,25,0,2,6.0,250.0
VITORIA DO XINGU - PORTO DE MOZ,LANCHA,ALUMINIO,21.0,3.6,1.0,1.7,410,20,1,35,7,0,80,0,3,3.0,250.0
SANTANA - GURUPA,PASSAGEIRO/CARGA GERAL,MADEIRA,21.0,4.8,1.0,1.45,180,14,2,35,9,2,50,30,6,7.0,250.0
BELEM - SAO FRANCISCO,LANCHA,ALUMINIO,22.9,4.38,0.8,2.2,400,26,2,45,12,1,120,0,3,4.210924369747899,625.0
BELEM - SAO FRANCISCO,LANCHA,ALUMINIO,15.0,3.0,1.5,1.8,450,25,1,26,8,1,113,0,3,4.210924369747899,90.0
BELEM - CAMARA,CATAMARA PASSAGEIRO,FIBRA,20.0,6.83,0.8,1.8,520,26,2,15,4,1,137,16,4,1.4,505.0
BELEM - PONTA DE PEDRAS,CATAMARA PASSAGEIRO,ALUMINIO,28.0,8.0,1.8,2.68,550,19,2,30,7,2,239,0,4,1.8,300.0
SANTAREM - ALENQUER,PASSAGEIRO/CARGA GERAL,MADEIRA,32.0,7.4,2.0,2.6,400,15,1,110,20,2,160,90,6,6.0,500.0
ORIXIMINA - JURUTI,PASSAGEIRO,MADEIRA,15.0,4.0,1.2,1.6,160,12,1,30,5,0,45,30,2,5.0,150.0
CAMETA - MOCAJUBA,PASSAGEIRO/CARGA GERAL,MADEIRA,23.2,5.0,1.0,1.8,180,15,1,35,8,0,61,30,4,3.0,80.0
CAMETA - MOCAJUBA,LANCHA,ALUMINIO,17.2,2.4,0.8,1.0,200,20,1,35,7,0,60,0,2,1.5,80.0
BARREIRINHA - MAUES,PASSAGEIRO/CARGA GERAL,MADEIRA,17.0,6.0,1.9,2.3,114,12,1,50,8,1,75,40,3,12.0,200.0
MANAUS - URUCURITUBA,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,5.6,1.5,1.85,180,12,1,62,21,2,69,50,3,11.0,400.0
MANAUS - NOVO ARIPUANA,PASSAGEIRO/CARGA GERAL,MADEIRA,26.2,6.41,1.6,2.25,550,12,1,68,11,1,100,60,2,9.0,500.0
SANTAREM - PARINTINS,PASSAGEIRO/CARGA GERAL,MADEIRA,27.0,6.4,1.8,2.0,315,14,2,180,37,2,96,157,6,8.0,700.0
SANTAREM - PORTO TROMBETAS,PASSAGEIRO/CARGA GERAL,ACO NAVAL,34.86,7.2,1.96,2.4,600,12,2,180,30,2,260,146,7,4.0,200.0
